# started on Sun Oct  9 07:29:33 2022

3114668.47,msec,task-clock,3114668471347,100.00,2.342,CPUs utilized
10967705946450,,cycles,1952306034538,62.68,3.521,GHz
13577109589998,,instructions,1952893347559,62.70,1.24,insn per cycle
,,,,,0.01,stalled cycles per insn
15612187,,context-switches,3114668471347,100.00,5.012,K/sec
17810,,cpu-migrations,3114668471347,100.00,5.718,/sec
24967313,,page-faults,3114668471347,100.00,8.016,K/sec
31557804090,,stalled-cycles-frontend,1953268777647,62.71,0.29,frontend cycles idle
133163747268,,stalled-cycles-backend,1954682480482,62.75,1.21,backend cycles idle
2929011731332,,branches,1954190424637,62.73,940.393,M/sec
25057541957,,branch-misses,1953678033676,62.72,0.86,of all branches
636732424263,,cache-references,1952404640548,62.69,204.430,M/sec
125238241263,,cache-misses,1952931417928,62.70,19.669,of all cache refs
1329975137398,ns,duration_time,1329975137398,100.00,427.004,M/sec
